Unnamed: 0,trans_date_trans_time,cc_num,merchant,category,amt,first,last,gender,street,city,state,zip,lat,long,city_pop,job,dob,trans_num,unix_time,merch_lat,merch_long,is_fraud,distance
81833,2020-07-19 23:00:12,2454076758463217,fraud_Roob-Okuneva,health_fitness,23.34,Robert,Andrade,M,27720 Martin Hills,Remer,MN,56672,47.0874,-93.9196,2097,Insurance risk surveyor,1987-10-27,19bbfe4dd4cd6f71f659012c0ca45f7d,1374274812,46.150896,-94.020578,1,3.13746929168701
309661,2020-10-16 22:31:03,4306586894261180,"fraud_Schmeler, Bashirian and Price",shopping_net,891.36,Renee,Walls,F,86542 Jessica Fords Apt. 706,Veedersburg,IN,47987,40.1186,-87.2602,4049,"Development worker, community",1959-10-19,0f5258ac0127d104640c98ad7b2c0d42,1381962663,39.910453,-86.66265,1,3.29451990127563
394310,2020-11-23 03:01:36,3575789281659026,"fraud_Ferry, Reichel and DuBuque",grocery_net,28.76,Lindsay,Wilson,F,7618 Gonzales Mission,Centerview,MO,64019,38.7897,-93.8702,2368,Electronics engineer,1989-07-17,9d430079cdb3181d8962775fd830dbf7,1385175696,39.236557,-94.453812,0,2.97088766098022
408839,2020-11-29 17:57:53,180011453250192,fraud_Schulist Ltd,food_dining,64.75,Craig,Dunn,M,721 Jacqueline Brooks,New Boston,IL,61272,41.2153,-90.9879,1504,Manufacturing engineer,1993-10-05,302345383b19cbe2224dc83ff5048b1b,1385747873,42.02562,-90.904799,0,2.89254546165466
259724,2020-09-24 21:33:05,4635330563105903,"fraud_O'Reilly, Mohr and Purdy",home,26.1,Christina,Rose,F,1984 Taylor Island Suite 836,Falls Church,VA,22046,38.8856,-77.1802,116155,Chartered accountant,1983-07-10,2a3c85f758ce77f79f0ec03a101dc60b,1380058385,39.280955,-76.869526,0,3.82691073417664
341836,2020-10-31 02:31:47,4.25539744966419E+018,"fraud_Baumbach, Hodkiewicz and Walsh",shopping_pos,8.84,George,Smith,M,7377 Walton Extensions Apt. 979,Dallas,TX,75236,32.69,-96.9177,1263321,"Designer, interior/spatial",1952-09-27,1d41eeb41c699ffafd98ba9c771f5f29,1383186707,33.042019,-97.325996,0,0.762612640857697
215557,2020-09-05 23:52:22,3550412175018089,fraud_Dooley Inc,shopping_pos,1050.65,Morgan,James,F,742 Sellers Ferry,Lexington,KY,40502,38.0174,-84.4854,296965,Software engineer,1962-12-30,32fc74ed9cf4003b8a29fe60d2692f4b,1378425142,37.349376,-84.99032,1,3.69479918479919
468520,2020-12-13 02:49:14,6011679934075347,fraud_Erdman-Kertzmann,gas_transport,49.48,Jennifer,Gonzalez,F,5517 Stacy Land,Jelm,WY,82063,41.0539,-106.0763,100,Public librarian,1974-04-16,fba54758b08a869cd9378983a85542c9,1386902954,41.343527,-105.121899,0,2.34553027153015
19392,2020-06-28 06:58:06,3581130339108561,"fraud_Schultz, Simonis and Little",grocery_pos,241.45,Gregory,Wood,M,622 Robert Summit,Akron,OH,44307,41.0695,-81.5488,272134,Call centre manager,1964-03-15,b85e1410861909e7bd3bdd1af343a589,1372402686,40.19583,-81.591419,1,3.35402798652649
277075,2020-10-02 16:35:57,4.10200377112658E+018,"fraud_Hettinger, McCullough and Fay",home,100.91,William,Fitzgerald,M,715 Courtney Pike Suite 932,Keller,TX,76248,32.9276,-97.2489,95035,Probation officer,1987-06-13,81eeb9a525304217dbf63f948a46e8b4,1380731757,33.087358,-97.194638,0,0.40690678358078
406757,2020-11-28 22:03:25,676275912597,fraud_Goodwin-Nitzsche,grocery_pos,294.9,Edward,Hensley,M,24318 Dixon Mills,Elk Rapids,MI,49629,44.8955,-85.4082,2223,Chief Financial Officer,1986-01-18,aa3f0e5db65f8a308477eb7e10893946,1385676205,44.572311,-85.497975,1,3.28889060020447
388332,2020-11-20 10:51:38,3582402971899057,fraud_Cummings LLC,gas_transport,8.77,Michele,Patrick,F,557 Lynn Garden Suite 907,Spirit Lake,ID,83869,47.9657,-116.868,4161,Production manager,1957-06-12,b69f27f5ccb6199f676e21bba2e7a451,1384944698,48.623951,-116.178892,0,2.22824025154114
